deployment level,mach,cd
0,0,0
0, 0.05, 0
0, 0.1, 0
0, 0.15, 0
0, 0.2, 0
0, 0.25, 0
0, 0.3, 0
0, 0.35, 0
0, 0.4, 0
0, 0.45, 0
0, 0.5, 0
0, 0.55, 0
0, 0.6, 0
0, 0.65, 0
0, 0.7, 0
0, 0.75, 0
0, 0.8, 0
0, 0.85, 0
0, 0.9, 0
0, 0.95, 0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
0.25,0.1,0.370481556
0.25,0.2,0.327569465
0.25,0.3,0.31367034
0.25,0.4,0.317494903
0.25,0.5,0.323488649
0.25,0.6,0.320294485
0.25,0.7,0.30957922
0.25,0.8,0.308752715
0.25,0.9,0.303223303
0.5,0.1,0.424189869
0.5,0.2,0.409090087
0.5,0.3,0.406985797
0.5,0.4,0.409256946
0.5,0.5,0.410878827
0.5,0.6,0.413512723
0.5,0.7,0.421336892
0.5,0.8,0.424021613
0.5,0.9,0.427707593
0.75,0.1,0.460481711
0.75,0.2,0.455112722
0.75,0.3,0.456193802
0.75,0.4,0.461219701
0.75,0.5,0.464872337
0.75,0.6,0.469369044
0.75,0.7,0.471799453
0.75,0.8,0.482733443
0.75,0.9,0.486100686
1,0.1,0.501541095
1,0.2,0.49773203
1,0.3,0.499135351
1,0.4,0.503252629
1,0.5,0.508892964
1,0.6,0.514095489
1,0.7,0.523979987
1,0.8,0.533868504
1,0.9,0.547969309
